article_id,source_dataset,original_index,mean_alignscore_range,low_sentence_count_range,means_by_model,low_by_model
laysumm_elife_0026,eLife,26,0.39373,9,gemini25_flash_non_thinking=0.84078; gemini3_flash_preview_minimal=0.44705; gpt41_mini=0.656216,gemini25_flash_non_thinking=3; gemini3_flash_preview_minimal=12; gpt41_mini=6
laysumm_plos_0051,PLOS,51,0.296843,8,gemini25_flash_non_thinking=0.92868; gemini3_flash_preview_minimal=0.631837; gpt41_mini=0.794177,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=8; gpt41_mini=5
laysumm_elife_0070,eLife,70,0.289959,5,gemini25_flash_non_thinking=0.947449; gemini3_flash_preview_minimal=0.65749; gpt41_mini=0.88308,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=6; gpt41_mini=1
laysumm_plos_0563,PLOS,563,0.280796,5,gemini25_flash_non_thinking=0.978607; gemini3_flash_preview_minimal=0.697811; gpt41_mini=0.766348,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=5; gpt41_mini=3
laysumm_elife_0163,eLife,163,0.280155,5,gemini25_flash_non_thinking=0.927928; gemini3_flash_preview_minimal=0.647773; gpt41_mini=0.765415,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=6; gpt41_mini=5
laysumm_elife_0189,eLife,189,0.139322,5,gemini25_flash_non_thinking=0.913399; gemini3_flash_preview_minimal=0.782279; gpt41_mini=0.921601,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=5; gpt41_mini=0
laysumm_plos_1309,PLOS,1309,0.260837,4,gemini25_flash_non_thinking=0.889858; gemini3_flash_preview_minimal=0.629021; gpt41_mini=0.709948,gemini25_flash_non_thinking=2; gemini3_flash_preview_minimal=6; gpt41_mini=4
laysumm_elife_0188,eLife,188,0.193285,4,gemini25_flash_non_thinking=0.991113; gemini3_flash_preview_minimal=0.797828; gpt41_mini=0.911549,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=4; gpt41_mini=2
laysumm_plos_0457,PLOS,457,0.160734,4,gemini25_flash_non_thinking=0.920496; gemini3_flash_preview_minimal=0.759762; gpt41_mini=0.830034,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=5; gpt41_mini=4
laysumm_plos_0209,PLOS,209,0.199548,3,gemini25_flash_non_thinking=0.89821; gemini3_flash_preview_minimal=0.698662; gpt41_mini=0.767211,gemini25_flash_non_thinking=2; gemini3_flash_preview_minimal=5; gpt41_mini=5
laysumm_plos_0285,PLOS,285,0.117991,2,gemini25_flash_non_thinking=0.966786; gemini3_flash_preview_minimal=0.893513; gpt41_mini=0.848795,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=1; gpt41_mini=2
laysumm_elife_0057,eLife,57,0.085438,2,gemini25_flash_non_thinking=0.898156; gemini3_flash_preview_minimal=0.815117; gpt41_mini=0.812718,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=2; gpt41_mini=3
laysumm_elife_0062,eLife,62,0.070105,2,gemini25_flash_non_thinking=0.916385; gemini3_flash_preview_minimal=0.84628; gpt41_mini=0.871197,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=3; gpt41_mini=2
laysumm_elife_0028,eLife,28,0.064313,2,gemini25_flash_non_thinking=0.958887; gemini3_flash_preview_minimal=0.894574; gpt41_mini=0.929719,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=2; gpt41_mini=0
laysumm_elife_0006,eLife,6,0.057361,2,gemini25_flash_non_thinking=0.893293; gemini3_flash_preview_minimal=0.853296; gpt41_mini=0.835932,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=3; gpt41_mini=2
laysumm_elife_0035,eLife,35,0.113227,1,gemini25_flash_non_thinking=0.950939; gemini3_flash_preview_minimal=0.837712; gpt41_mini=0.902721,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=1; gpt41_mini=1
laysumm_plos_0501,PLOS,501,0.06713,1,gemini25_flash_non_thinking=0.930642; gemini3_flash_preview_minimal=0.863512; gpt41_mini=0.889636,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=2; gpt41_mini=1
laysumm_plos_0228,PLOS,228,0.06611,1,gemini25_flash_non_thinking=0.93341; gemini3_flash_preview_minimal=0.935212; gpt41_mini=0.869102,gemini25_flash_non_thinking=1; gemini3_flash_preview_minimal=0; gpt41_mini=1
laysumm_plos_0178,PLOS,178,0.035012,1,gemini25_flash_non_thinking=0.956757; gemini3_flash_preview_minimal=0.921745; gpt41_mini=0.923207,gemini25_flash_non_thinking=0; gemini3_flash_preview_minimal=1; gpt41_mini=1
laysumm_plos_1116,PLOS,1116,0.063276,0,gemini25_flash_non_thinking=0.883071; gemini3_flash_preview_minimal=0.853885; gpt41_mini=0.917161,gemini25_flash_non_thinking=2; gemini3_flash_preview_minimal=2; gpt41_mini=2
