article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0189,eLife,189,gemini25_flash_non_thinking,rewritten,6,0.054796,20,,Khanna and Carmena have now solved this problem by training rhesus macaque monkeys to mentally control their own brain waves.
laysumm_elife_0057,eLife,57,gemini25_flash_non_thinking,rewritten,7,0.118516,13,,Hairy bittercress produces flowers with any number of petals between zero and four.
laysumm_elife_0062,eLife,62,gemini25_flash_non_thinking,rewritten,3,0.137694,16,hard_word_dense,"The researchers studied Schmidtea mediterranea, an asexual flatworm that can regenerate all organs, including its gut."
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,13,0.204705,13,,"For humans and monkeys, more noise led to faster decisions and greater confidence."
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,rewritten,4,0.303447,20,deictic_subject|number,"This activity occurs when UBC13 is in a complex with the protein TRAF6, which then silences the NF-κB inflammatory response."
laysumm_plos_0228,PLOS,228,gemini25_flash_non_thinking,rewritten,6,0.304804,15,negation_or_contrast|hard_word_dense,"After training, participants' performance was tested without feedback on novel target shapes not previously learned."
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,rewritten,13,0.30817,10,deictic_subject|number,This repulsion further hinders the formation of the UBC13/RING complex.
laysumm_plos_0457,PLOS,457,gemini25_flash_non_thinking,rewritten,6,0.31426,16,deictic_subject|hard_word_dense,This stickiness is regulated by E-cadherin expression and helps GSCs outcompete neighbors with higher Notch levels.
laysumm_plos_1116,PLOS,1116,gemini25_flash_non_thinking,rewritten,2,0.395996,16,deictic_subject,This study used mass spectrometry-based metabolomic profiling of blood samples from adult DF and DHF patients.
laysumm_plos_0209,PLOS,209,gemini25_flash_non_thinking,rewritten,9,0.415362,12,negation_or_contrast,"Correlations between cells mainly arise from intercellular molecular transfer, not cell division."
laysumm_plos_1116,PLOS,1116,gemini25_flash_non_thinking,rewritten,1,0.441351,19,negation_or_contrast|hard_word_dense,The mechanisms that cause the transition from dengue fever (DF) to dengue hemorrhagic fever (DHF) are not well understood.
laysumm_elife_0163,eLife,163,gemini25_flash_non_thinking,rewritten,15,0.449297,12,,REST is a protein that normally suppresses genes needed for dendrite formation.
laysumm_plos_0501,PLOS,501,gemini25_flash_non_thinking,rewritten,13,0.482068,15,number|hard_word_dense,The PCM models achieved an 84% correct resistance prediction rate on the Stanford University database.
laysumm_plos_0209,PLOS,209,gemini25_flash_non_thinking,rewritten,2,0.51899,15,hard_word_dense,The coupling of gene expression fluctuations between cells along a multicellular Anabaena filament was unknown.
laysumm_plos_1309,PLOS,1309,gemini25_flash_non_thinking,rewritten,15,0.54642,12,,The pathway is important for yeast to recover from heavy metal stress.
laysumm_plos_1309,PLOS,1309,gemini25_flash_non_thinking,rewritten,1,0.600118,15,,The cell tightly controls the amount of substrate receptor subunits in Cullin-RING ubiquitin ligases (CRLs).
laysumm_elife_0070,eLife,70,gemini25_flash_non_thinking,rewritten,6,0.611763,16,deictic_subject|hard_word_dense,"These proteins served as new model quality control substrates in Saccharomyces cerevisiae, also known as yeast."
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,rewritten,5,0.630806,13,number,The precise role of deamidation in silencing the UBC13/TRAF6 complex was previously unknown.
