article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0057,eLife,57,gemini3_flash_preview_minimal,rewritten,3,0.043825,11,,The plant Arabidopsis thaliana always produces flowers with exactly four petals.
laysumm_plos_0051,PLOS,51,gemini3_flash_preview_minimal,rewritten,16,0.046098,12,deictic_subject|negation_or_contrast|number,This result was surprising because Nrf2 does not activate recognized anti-viral genes.
laysumm_elife_0188,eLife,188,gemini3_flash_preview_minimal,rewritten,10,0.047128,12,,Low temperatures in southern regions prevent the virus from spreading all year.
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,rewritten,14,0.04937,12,,The bacterial enzyme silences this immune signaling to help the pathogen survive.
laysumm_plos_1309,PLOS,1309,gemini3_flash_preview_minimal,rewritten,6,0.054165,13,deictic_subject|causal_or_inferential|negation_or_contrast,This proteasome-mediated degradation ensures that the cell does not have too many receptors.
laysumm_plos_1309,PLOS,1309,gemini3_flash_preview_minimal,rewritten,10,0.063705,14,deictic_subject|analogy_or_metaphor|number,This finding was unexpected because Skp1 is usually a central part of this machinery.
laysumm_elife_0163,eLife,163,gemini3_flash_preview_minimal,rewritten,14,0.066352,12,,An increased REST level is the major cause of the growth problems.
laysumm_plos_1116,PLOS,1116,gemini3_flash_preview_minimal,rewritten,2,0.067584,10,deictic_subject|background_or_definition,This virus is the most common infection spread by mosquitoes.
laysumm_plos_0051,PLOS,51,gemini3_flash_preview_minimal,rewritten,15,0.069945,12,negation_or_contrast,The drug did not use common defense proteins to fight the virus.
laysumm_plos_1309,PLOS,1309,gemini3_flash_preview_minimal,rewritten,7,0.081749,13,number,Researchers found a new pathway in yeast that destroys the F-box protein Met30.
laysumm_plos_0051,PLOS,51,gemini3_flash_preview_minimal,rewritten,10,0.093423,12,negation_or_contrast,The virus enters the cell but cannot finish preparing its genetic material.
laysumm_elife_0163,eLife,163,gemini3_flash_preview_minimal,rewritten,12,0.098789,12,deictic_subject|causal_or_inferential,This confirms that the molecule is necessary for building healthy brain connections.
laysumm_plos_0563,PLOS,563,gemini3_flash_preview_minimal,rewritten,13,0.106652,14,,The lack of ClfB significantly weakened the bacteria's ability to survive in the skin.
laysumm_plos_0209,PLOS,209,gemini3_flash_preview_minimal,rewritten,17,0.111153,10,hard_word_dense,Anabaena is a multicellular cyanobacterium that grows in long chains.
laysumm_plos_0209,PLOS,209,gemini3_flash_preview_minimal,rewritten,18,0.126875,11,hard_word_dense,Specific proteins act as inhibitors to stop neighboring cells from changing.
laysumm_elife_0070,eLife,70,gemini3_flash_preview_minimal,rewritten,5,0.130402,12,,The ubiquitin-proteasome system degrades these proteins directly from the mitochondrial outer membrane.
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,rewritten,1,0.168901,13,,The bacteria Shigella flexneri uses an enzyme called OspI to modify human proteins.
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,rewritten,4,0.177111,12,,The modification prevents the NF-κB pathway from starting a normal inflammatory response.
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,rewritten,16,0.177797,13,deictic_subject,This specific electrical competition is a key part of the bacterial defense strategy.
laysumm_elife_0026,eLife,26,gemini3_flash_preview_minimal,rewritten,3,0.201667,12,deictic_subject|number,This chemical change stops the UBC13 and TRAF6 proteins from working together.
laysumm_plos_0209,PLOS,209,gemini3_flash_preview_minimal,rewritten,4,0.206806,13,,HetR acts as a master switch to trigger the change into a heterocyst.
laysumm_plos_0051,PLOS,51,gemini3_flash_preview_minimal,rewritten,8,0.228628,12,deictic_subject|hard_word_dense,This reduction also diminished the effectiveness of Sulforaphane treatment against the virus.
laysumm_plos_0501,PLOS,501,gemini3_flash_preview_minimal,rewritten,2,0.23168,12,deictic_subject,These drugs work by preventing the virus from making copies of itself.
laysumm_elife_0035,eLife,35,gemini3_flash_preview_minimal,rewritten,10,0.231849,11,,The arrangement of axons and dendrites keeps these two pathways separate.
laysumm_elife_0163,eLife,163,gemini3_flash_preview_minimal,rewritten,9,0.250816,13,deictic_subject,This molecule promotes growth by causing the downregulation of a protein called REST.
