run,model,variant,article_id,source_dataset,sentence_count,word_count,avg_wps,max_wps,mean_cli,mean_dcrs,high_risk_sentences
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,18,240,13.333333333333334,17,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0026,eLife,17,243,14.294117647058824,21,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0028,eLife,24,275,11.458333333333334,16,,,5
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0035,eLife,27,299,11.074074074074074,15,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0057,eLife,21,278,13.238095238095237,22,,,7
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0062,eLife,16,229,14.3125,18,,,7
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0070,eLife,27,284,10.518518518518519,14,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0163,eLife,20,243,12.15,14,,,1
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0188,eLife,18,269,14.944444444444445,23,,,5
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0189,eLife,20,237,11.85,16,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0051,PLOS,16,195,12.1875,14,,,4
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0178,PLOS,16,209,13.0625,15,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0209,PLOS,16,176,11,13,,,9
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0228,PLOS,16,200,12.5,14,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0285,PLOS,16,219,13.6875,16,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0457,PLOS,23,251,10.91304347826087,14,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0501,PLOS,17,251,14.764705882352942,21,,,8
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0563,PLOS,22,256,11.636363636363637,15,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_1116,PLOS,16,218,13.625,22,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_1309,PLOS,16,186,11.625,13,,,4
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0006,eLife,18,240,13.333333333333334,17,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0026,eLife,17,251,14.764705882352942,21,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0028,eLife,24,275,11.458333333333334,16,,,5
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0035,eLife,27,303,11.222222222222221,18,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0057,eLife,21,239,11.380952380952381,14,,,7
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0062,eLife,16,229,14.3125,18,,,7
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0070,eLife,29,312,10.758620689655173,14,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0163,eLife,20,244,12.2,14,,,4
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0188,eLife,18,269,14.944444444444445,23,,,5
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0189,eLife,20,238,11.9,16,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0051,PLOS,16,195,12.1875,14,,,4
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0178,PLOS,16,215,13.4375,15,,,1
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0209,PLOS,16,180,11.25,14,,,9
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0228,PLOS,16,199,12.4375,14,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0285,PLOS,16,222,13.875,17,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0457,PLOS,23,251,10.91304347826087,14,,,0
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0501,PLOS,17,257,15.117647058823529,21,,,8
