time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-16T19:07:06,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0028:chunk0,2170,0,2170,1245,1245,3415,26.823,0.4,0.1,1.6,USD,0.00286
2026-06-16T19:07:10,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0006:chunk0,1962,0,1962,1212,1212,3174,31.4181,0.4,0.1,1.6,USD,0.002724
2026-06-16T19:07:14,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0209:chunk0,2094,0,2094,1702,1702,3796,34.8918,0.4,0.1,1.6,USD,0.0035608
2026-06-16T19:07:15,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0178:chunk0,2133,0,2133,1757,1757,3890,35.9382,0.4,0.1,1.6,USD,0.0036644
2026-06-16T19:07:16,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0051:chunk0,2256,0,2256,1782,1782,4038,36.6683,0.4,0.1,1.6,USD,0.0037536
2026-06-16T19:07:17,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0026:chunk0,2450,0,2450,1489,1489,3939,37.6551,0.4,0.1,1.6,USD,0.0033624
2026-06-16T19:07:19,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0285:chunk0,2058,0,2058,1604,1604,3662,40.4764,0.4,0.1,1.6,USD,0.0033896
2026-06-16T19:07:21,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0228:chunk0,1940,0,1940,2020,2020,3960,41.7333,0.4,0.1,1.6,USD,0.004008
2026-06-16T19:07:24,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0028:chunk1,2277,0,2277,807,807,3084,18.5092,0.4,0.1,1.6,USD,0.002202
2026-06-16T19:07:39,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0026:chunk1,2481,0,2481,926,926,3407,22.7854,0.4,0.1,1.6,USD,0.002474
2026-06-16T19:07:42,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0051:chunk1,2252,0,2252,1099,1099,3351,26.2312,0.4,0.1,1.6,USD,0.0026592
2026-06-16T19:07:43,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0228:chunk1,1970,0,1970,1033,1033,3003,22.5524,0.4,0.1,1.6,USD,0.0024408
2026-06-16T19:07:43,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0178:chunk1,1801,0,1801,1188,1188,2989,28.4884,0.4,0.1,1.6,USD,0.0026212
2026-06-16T19:07:48,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0006:chunk1,2000,0,2000,869,869,2869,37.8405,0.4,0.1,1.6,USD,0.0021904
2026-06-16T19:07:50,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0028:chunk2,2258,0,2258,1202,1202,3460,25.8497,0.4,0.1,1.6,USD,0.0028264
2026-06-16T19:07:54,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0209:chunk1,2159,0,2159,1837,1837,3996,40.6972,0.4,0.1,1.6,USD,0.0038028
2026-06-16T19:08:03,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0026:chunk2,2378,0,2378,1194,1194,3572,23.8199,0.4,0.1,1.6,USD,0.0028616
2026-06-16T19:08:03,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0228:chunk2,1948,0,1948,1049,1049,2997,20.0179,0.4,0.1,1.6,USD,0.0024576
2026-06-16T19:08:05,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0006:chunk2,2080,0,2080,915,915,2995,17.2401,0.4,0.1,1.6,USD,0.002296
2026-06-16T19:08:07,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0035:chunk0,2320,0,2320,1315,1315,3635,23.7312,0.4,0.1,1.6,USD,0.003032
2026-06-16T19:08:09,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0209:chunk2,2083,0,2083,917,917,3000,14.9793,0.4,0.1,1.6,USD,0.0023004
2026-06-16T19:08:10,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0285:chunk1,2114,0,2114,1714,1714,3828,50.9697,0.4,0.1,1.6,USD,0.003588
2026-06-16T19:08:11,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_plos_0051:chunk2,2279,0,2279,1808,1808,4087,28.9034,0.4,0.1,1.6,USD,0.0038044
2026-06-16T19:08:17,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0006:chunk3,2013,0,2013,760,760,2773,11.8717,0.4,0.1,1.6,USD,0.0020212
2026-06-16T19:08:19,module1.candidate_af:gpt41_mini,openai,gpt-4.1-mini,laysumm_elife_0028:chunk3,2086,0,2086,1765,1765,3851,28.4044,0.4,0.1,1.6,USD,0.0036584
