time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-19T21:43:35,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0457,4632,0,4632,921,921,5553,5.4503,0.3,0.03,2.5,USD,0.0036921
2026-06-19T21:43:35,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0228,4882,0,4882,963,963,5845,5.5523,0.3,0.03,2.5,USD,0.0038721
2026-06-19T21:43:35,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0051,4690,0,4690,965,965,5655,5.7558,0.3,0.03,2.5,USD,0.0038195
2026-06-19T21:43:36,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0285,4912,0,4912,1159,1159,6071,6.332,0.3,0.03,2.5,USD,0.0043711
2026-06-19T21:43:36,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0178,5702,0,5702,1226,1226,6928,6.4348,0.3,0.03,2.5,USD,0.0047756
2026-06-19T21:43:36,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0563,4270,0,4270,887,887,5157,6.5221,0.3,0.03,2.5,USD,0.0034985
2026-06-19T21:43:36,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0501,5621,0,5621,1275,1275,6896,6.5248,0.3,0.03,2.5,USD,0.0048738
2026-06-19T21:43:36,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_0209,5070,0,5070,1077,1077,6147,6.7264,0.3,0.03,2.5,USD,0.0042135
2026-06-19T21:43:40,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0228:expand:1,4672,0,4672,995,995,5667,4.6861,0.3,0.03,2.5,USD,0.0038891
2026-06-19T21:43:41,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0006,3852,0,3852,631,631,4483,4.3946,0.3,0.03,2.5,USD,0.0027331
2026-06-19T21:43:41,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0051:expand:1,4569,0,4569,1089,1089,5658,5.2778,0.3,0.03,2.5,USD,0.0040932
2026-06-19T21:43:41,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0563:expand:1,4152,0,4152,887,887,5039,4.8845,0.3,0.03,2.5,USD,0.0034631
2026-06-19T21:43:41,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1309,4947,0,4947,1082,1082,6029,5.1784,0.3,0.03,2.5,USD,0.0041891
2026-06-19T21:43:41,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0457:expand:1,4463,0,4463,941,941,5404,6.2606,0.3,0.03,2.5,USD,0.0036914
2026-06-19T21:43:42,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_plos_1116,5407,0,5407,1326,1326,6733,6.0603,0.3,0.03,2.5,USD,0.0049371
2026-06-19T21:43:42,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0209:expand:1,4950,0,4950,1129,1129,6079,5.7742,0.3,0.03,2.5,USD,0.0043075
2026-06-19T21:43:44,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_elife_0006:expand:1,3517,0,3517,656,656,4173,3.5141,0.3,0.03,2.5,USD,0.0026951
2026-06-19T21:43:45,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0228:expand:2,4704,0,4704,995,995,5699,4.8903,0.3,0.03,2.5,USD,0.0038987
2026-06-19T21:43:45,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0563:expand:2,4152,0,4152,887,887,5039,4.392,0.3,0.03,2.5,USD,0.0034631
2026-06-19T21:43:46,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0457:expand:2,4483,0,4483,941,941,5424,4.6966,0.3,0.03,2.5,USD,0.0036974
2026-06-19T21:43:47,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_1309:expand:1,4967,0,4967,1082,1082,6049,5.4673,0.3,0.03,2.5,USD,0.0041951
2026-06-19T21:43:47,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_elife_0006:expand:2,3545,0,3545,656,656,4201,3.0271,0.3,0.03,2.5,USD,0.0027035
2026-06-19T21:43:47,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_0051:expand:2,4693,0,4693,1121,1121,5814,6.7342,0.3,0.03,2.5,USD,0.0042104
2026-06-19T21:43:48,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0026,5209,0,5209,1170,1170,6379,5.8479,0.3,0.03,2.5,USD,0.0044877
2026-06-19T21:43:48,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0028,4890,0,4890,1092,1092,5982,5.8476,0.3,0.03,2.5,USD,0.004197
2026-06-19T21:43:50,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0057,4357,0,4357,933,933,5290,4.5005,0.3,0.03,2.5,USD,0.0036396
2026-06-19T21:43:50,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0035,4691,0,4691,942,942,5633,5.4799,0.3,0.03,2.5,USD,0.0037623
2026-06-19T21:43:51,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0163,3911,0,3911,661,661,4572,3.3335,0.3,0.03,2.5,USD,0.0028258
2026-06-19T21:43:52,V11.generate_summary.factuality_chase:gemini25_flash_non_thinking,gemini,gemini-2.5-flash,laysumm_elife_0062,4162,0,4162,1087,1087,5249,5.574,0.3,0.03,2.5,USD,0.0039661
2026-06-19T21:43:52,V11.generate_summary.gemini25_flash_non_thinking.expand_length.factuality_chase,gemini,gemini-2.5-flash,laysumm_plos_1309:expand:2,4967,0,4967,1082,1082,6049,5.7958,0.3,0.03,2.5,USD,0.0041951
