sample_id,af_id,source_dataset,article_id,fact,llm_covered,llm_supporting_span,module_keep,module_reasoning,lay_summary,human_covered,human_notes,llm_judge_covered,llm_judge_confidence,llm_judge_supporting_evidence,llm_judge_reasoning,llm_judge_parse_error,agreement_llm_covered_vs_judge,agreement_module_keep_vs_judge,judge_error_type
exp2_human_001,exp2_plos_004_af_0004,PLOS,exp2_plos_004,A conditional Caenorhabditis elegans cytoplasmic dynein heavy chain mutant was screened at a semipermissive temperature with a genome-wide RNA interference library to reduce gene functions.,True,We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes.,True,"While the technical details could be paraphrased, the fact that researchers used a genetic screen in C. elegans to study gene function is relevant background that could be generalized for lay readers to understand the study's approach.","Microtubules and microtubule-dependent motor proteins segregate chromosomes during mitosis and also promote cellular organization in nondividing cells . An essential motor protein complex called cytoplasmic dynein powers many aspects of microtubule-dependent transport , but it is currently unclear how dynein is regulated such that it can execute different processes . We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes . We determined that 20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C . elegans mutants . Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found . Additionally , we identified four dynein components that appear to negatively regulate the force-generating dynein heavy chain . The identification and initial characterization of this group of genes represents a route to identify genes that are not themselves essential but do participate in essential processes .",False,"The lay summary mentions a genome-wide screen related to dynein-dependent processes, but it does not specify that a conditional C. elegans cytoplasmic dynein heavy chain mutant was used, nor that the screen was performed at a semipermissive temperature, nor that RNA interference was used to reduce gene functions. These specific experimental details are omitted.",False,high,"""We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes.""","The lay summary mentions a genome-wide screen related to dynein-dependent processes, but it does not specify that a conditional C. elegans cytoplasmic dynein heavy chain mutant was used, nor that the screen was performed at a semipermissive temperature, nor that RNA interference was used to reduce gene functions. These specific experimental details are omitted.",False,False,False,not_dangerous_skip_by_judge
exp2_human_002,exp2_plos_001_af_0161,PLOS,exp2_plos_001,Forcing frequencies at which swimming is viable are those that do not trigger the higher deformation modes.,True,We show how the lower deformation modes produce the best forward propulsion of the body. This insight reveals that swimming is viable for small enough frequencies of neuromuscular activation relative to the natural frequencies of the body and for sufficiently stiff elastic properties.,True,"This fact relates to a key mechanism or relationship (the link between forcing frequency and swimming viability) that could plausibly be paraphrased for lay readers to explain how certain conditions affect the outcome studied, supporting the main narrative of the research.","The damped harmonic oscillator framework has been applied to interrogate numerous engineering systems like the tuned mass damper used in power transmission , automobiles , and buildings to reduce vibrations . We apply the same framework to undulatory swimming to understand the emergence of movement due to muscular and/or environmental forcing . It helps elucidate why flexible bodies can indeed be propelled forward by not only the internal muscular forcing but also by external fluid forces as reported earlier in which dead trout were found to swim in the wake of cylinder . We show how forcing triggers the first few deformation modes of the swimmer similar to how the appropriate forcing triggers the fundamental deformation modes on a guitar string . We show how the lower deformation modes produce the best forward propulsion of the body . This insight reveals that swimming is viable for small enough frequencies of neuromuscular activation relative to the natural frequencies of the body and for sufficiently stiff elastic properties . Thus , these results identify the key mechanistic parameters that would have been crucial to the evolutionary emergence of swimming animals . The proposed framework can help understand neural control of movement in swimming as well as control of underwater vehicles .",True,"The summary explains that swimming is viable when the forcing frequencies are low enough (i.e., do not excite higher deformation modes), and that lower modes are best for propulsion. This faithfully covers the atomic fact that viable swimming frequencies are those that avoid triggering higher deformation modes.",True,high,We show how the lower deformation modes produce the best forward propulsion of the body. This insight reveals that swimming is viable for small enough frequencies of neuromuscular activation relative to the natural frequencies of the body,"The summary explains that swimming is viable when the forcing frequencies are low enough (i.e., do not excite higher deformation modes), and that lower modes are best for propulsion. This faithfully covers the atomic fact that viable swimming frequencies are those that avoid triggering higher deformation modes.",False,True,True,not_dangerous_skip_by_judge
exp2_human_003,exp2_elife_001_af_0188,eLife,exp2_elife_001,Zebrafish embryos at the 1–2 cell stage were injected with aldoca:gap43-Venus and Tol2 transposase mRNA.,False,,False,This fact describes a specific technical methodology (injection of constructs into zebrafish embryos at a particular stage) that is too detailed and procedural for a lay summary and does not contribute to lay understanding of the study's main message.,"Ever wonder how you keep your balance ? This is something that we learn to do as toddlers , and it involves the coordinated effort of various muscles in the body . An area at the base of the brain called the cerebellum controls this effort , and synchronizes our muscles by sending messages in the form of electrical signals along cells called Purkinje neurons . These signals consist of steady ‘tonic’ activity or short ‘bursts’ of activity . Previous studies in unconscious mammals suggest that these neurons can spontaneously switch between the two types of electrical signals . However , it is not clear whether this switch occurs in awake animals , or how these nerve activities control muscle movements . It is technically challenging to record the voltage of single Purkinje neurons of conscious rodents , so Sengupta and Thirumalai avoided this problem by using zebrafish larvae instead . These larvae are small , transparent and lack a skull , which makes it possible to record the activity of the cerebellum using tiny glass electrodes . The experiments show that even when the larvae are awake , the Purkinje cells produce either spontaneous bursts or tonic activity and they can readily switch between the two . The switch is controlled in part by the voltage on the neurons' surface . A positive voltage is called the ‘up’ state , while a negative voltage is dubbed the ‘down’ state . Neurons in the ‘up’ state produced tonic pulses , while neurons in the ‘down’ state produced short bursts of activity with the help of an ion channel called AMPAR . Cells called motor neurons in the spinal cord carry the final command from the nervous system to the muscles . Sengupta and Thirumalai recorded the activity of motor neurons and Purkinje neurons at the same time . This revealed that Purkinje neurons receive a copy of the motor command that goes to the muscle and produce short bursts of electrical activity in response . This effect required AMPAR activity , and was blocked by molecules that inhibit AMPAR . Furthermore , Sengupta and Thirumalai report that the timing of these short bursts with respect to the motor command changes from one Purkinje neuron to another . Future work will investigate how the Purkinje neurons receive and process the information in the motor command .",False,"The lay summary does not mention or imply that zebrafish embryos at the 1–2 cell stage were injected with aldoca:gap43-Venus and Tol2 transposase mRNA. It only discusses the use of zebrafish larvae for recording neuronal activity, without reference to any genetic manipulation or injection procedures.",False,high,,"The lay summary does not mention or imply that zebrafish embryos at the 1–2 cell stage were injected with aldoca:gap43-Venus and Tol2 transposase mRNA. It only discusses the use of zebrafish larvae for recording neuronal activity, without reference to any genetic manipulation or injection procedures.",False,True,True,not_dangerous_skip_by_judge
exp2_human_004,exp2_elife_003_af_0080,eLife,exp2_elife_003,The velocity color map showed a clear boundary condition where blood cell velocity is only found inside the boundaries of the vessel lumen.,False,,True,"While somewhat technical, this fact could be paraphrased to explain how the researchers visualized and confirmed that blood flow occurs only within vessels, which may help lay readers understand the study's approach or findings.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",False,"The lay summary discusses the ability to track single blood cells and measure their movement through the vessel network, but it does not mention or imply that the velocity color map shows a clear boundary where blood cell velocity is only found inside the vessel lumen. The specific observation about the spatial restriction of velocity to within vessel boundaries is not covered.",False,high,,"The lay summary discusses the ability to track single blood cells and measure their movement through the vessel network, but it does not mention or imply that the velocity color map shows a clear boundary where blood cell velocity is only found inside the vessel lumen. The specific observation about the spatial restriction of velocity to within vessel boundaries is not covered.",False,True,False,not_dangerous_skip_by_judge
exp2_human_005,exp2_plos_005_af_0012,PLOS,exp2_plos_005,RNA 5′-capping activity was undetectable or very weak when Tomato mosaic virus (ToMV) 130K protein was expressed alone or with either TOM1 or ARL8 in yeast.,True,We further demonstrate that the replication proteins acquire the ability to synthesize negative-strand ToMV RNA and RNA 5′ cap only in the presence of both TOM1 and ARL8.,True,"This fact describes a key experimental observation about the conditions under which a viral protein's activity is weak or absent, which could be paraphrased to help lay readers understand what is required for the virus's function and why the study's findings matter.","Many important pathogens of plants , animals , and humans are positive-strand RNA viruses . They replicate via complementary RNA in replication complexes formed on host intracellular membranes . In the replication process , not only viral replication proteins but also host factors play important roles . Although many host factors whose knockdown affects the multiplication of positive-strand RNA viruses have been identified , the function of each host factor in virus multiplication is only poorly understood in most instances . In this paper , we show that a host small GTP-binding protein ARL8 is required for the multiplication of Tomato mosaic virus ( ToMV ) , and that it forms a complex with ToMV replication proteins and another essential host factor TOM1 that is a seven-pass transmembrane protein . We further demonstrate that the replication proteins acquire the ability to synthesize negative-strand ToMV RNA and RNA 5′ cap only in the presence of both TOM1 and ARL8 . The replication proteins of ToMV are multifunctional proteins that participate in RNA replication on membranes and RNA silencing suppression in the cytosol . Our results suggest that ToMV replication proteins are programmed to express their replication-related activities only on membranes through interactions with these host membrane proteins .",True,"The lay summary clearly states that the ability to synthesize the RNA 5′ cap (i.e., capping activity) is only present when both TOM1 and ARL8 are present, which directly entails that capping activity is undetectable or very weak when the 130K protein is expressed alone or with only one of these factors.",True,high,We further demonstrate that the replication proteins acquire the ability to synthesize negative-strand ToMV RNA and RNA 5′ cap only in the presence of both TOM1 and ARL8.,"The lay summary clearly states that the ability to synthesize the RNA 5′ cap (i.e., capping activity) is only present when both TOM1 and ARL8 are present, which directly entails that capping activity is undetectable or very weak when the 130K protein is expressed alone or with only one of these factors.",False,True,True,not_dangerous_skip_by_judge
exp2_human_006,exp2_plos_002_af_0027,PLOS,exp2_plos_002,"This work also integrated genomic features of SNPs, using them as priors in a regularized linear model, and found SNPs located in certain regions of the gene to be more predictive of gene expression variation.",True,We also present an extension to our method that integrates different genomic annotations such as location of the genetic variant or its context to differentially weigh the genetic variants in our model and improve predictions.,True,"This fact describes a key methodological approach (using genomic features of SNPs to predict gene expression variation) and a main finding (SNPs in certain gene regions are more predictive), both of which could be paraphrased for lay readers to explain how genetic differences can influence gene expression.","Variation in gene expression across different individuals has been found to play a role in susceptibility to different diseases . In addition , many genetic variants that are linked to changes in expression have been found to date . However , their joint ability to accurately predict these changes is not well understood and has rarely been evaluated . Here , we devise a method that uses multiple genetic variants to explain the variation in expression of genes across individuals . One important aspect of our method is its robustness , in that our predictions agree well between training and test sets . Thus , although the number of genes that could be explained is relatively small , the identity and quantitative degree to which genes can be predicted is known in advance . We also present an extension to our method that integrates different genomic annotations such as location of the genetic variant or its context to differentially weigh the genetic variants in our model and improve predictions . Finally , genes that are successfully predicted have , on average , higher expression and more variability across individuals , providing insight into the characteristics of the types of genes that can be predicted by our method .",True,"The lay summary states that the method was extended to integrate genomic annotations, including the location of genetic variants, to differentially weigh them in the model and improve predictions. This covers the use of genomic features as priors in a regularized linear model and the finding that SNPs in certain regions are more predictive, as it implies that location/context was used to enhance prediction of gene expression variation.",True,high,We also present an extension to our method that integrates different genomic annotations such as location of the genetic variant or its context to differentially weigh the genetic variants in our model and improve predictions.,"The lay summary states that the method was extended to integrate genomic annotations, including the location of genetic variants, to differentially weigh them in the model and improve predictions. This covers the use of genomic features as priors in a regularized linear model and the finding that SNPs in certain regions are more predictive, as it implies that location/context was used to enhance prediction of gene expression variation.",False,True,True,not_dangerous_skip_by_judge
exp2_human_007,exp2_elife_001_af_0004,eLife,exp2_elife_001,Intracellular recordings from Purkinje neurons in unanesthetized larval zebrafish (Danio rerio) demonstrate membrane bistability in these neurons.,True,"The experiments show that even when the larvae are awake , the Purkinje cells produce either spontaneous bursts or tonic activity and they can readily switch between the two . The switch is controlled in part by the voltage on the neurons' surface . A positive voltage is called the ‘up’ state , while a negative voltage is dubbed the ‘down’ state . Neurons in the ‘up’ state produced tonic pulses , while neurons in the ‘down’ state produced short bursts of activity with the help of an ion channel called AMPAR .",True,"This fact describes a key experimental finding about the behavior of Purkinje neurons in a living animal model, which could be paraphrased for lay readers as a core result relevant to understanding brain function or disease mechanisms.","Ever wonder how you keep your balance ? This is something that we learn to do as toddlers , and it involves the coordinated effort of various muscles in the body . An area at the base of the brain called the cerebellum controls this effort , and synchronizes our muscles by sending messages in the form of electrical signals along cells called Purkinje neurons . These signals consist of steady ‘tonic’ activity or short ‘bursts’ of activity . Previous studies in unconscious mammals suggest that these neurons can spontaneously switch between the two types of electrical signals . However , it is not clear whether this switch occurs in awake animals , or how these nerve activities control muscle movements . It is technically challenging to record the voltage of single Purkinje neurons of conscious rodents , so Sengupta and Thirumalai avoided this problem by using zebrafish larvae instead . These larvae are small , transparent and lack a skull , which makes it possible to record the activity of the cerebellum using tiny glass electrodes . The experiments show that even when the larvae are awake , the Purkinje cells produce either spontaneous bursts or tonic activity and they can readily switch between the two . The switch is controlled in part by the voltage on the neurons' surface . A positive voltage is called the ‘up’ state , while a negative voltage is dubbed the ‘down’ state . Neurons in the ‘up’ state produced tonic pulses , while neurons in the ‘down’ state produced short bursts of activity with the help of an ion channel called AMPAR . Cells called motor neurons in the spinal cord carry the final command from the nervous system to the muscles . Sengupta and Thirumalai recorded the activity of motor neurons and Purkinje neurons at the same time . This revealed that Purkinje neurons receive a copy of the motor command that goes to the muscle and produce short bursts of electrical activity in response . This effect required AMPAR activity , and was blocked by molecules that inhibit AMPAR . Furthermore , Sengupta and Thirumalai report that the timing of these short bursts with respect to the motor command changes from one Purkinje neuron to another . Future work will investigate how the Purkinje neurons receive and process the information in the motor command .",True,"The summary explicitly states that recordings from Purkinje neurons in awake (unanesthetized) zebrafish larvae show that these neurons can switch between two states (bursts and tonic activity), controlled by membrane voltage ('up' and 'down' states), which is a lay description of membrane bistability. The fact that these findings are from recordings in awake zebrafish is also clearly stated.",True,high,"The experiments show that even when the larvae are awake, the Purkinje cells produce either spontaneous bursts or tonic activity and they can readily switch between the two. The switch is controlled in part by the voltage on the neurons' surface. A positive voltage is called the ‘up’ state, while a negative voltage is dubbed the ‘down’ state.","The summary explicitly states that recordings from Purkinje neurons in awake (unanesthetized) zebrafish larvae show that these neurons can switch between two states (bursts and tonic activity), controlled by membrane voltage ('up' and 'down' states), which is a lay description of membrane bistability. The fact that these findings are from recordings in awake zebrafish is also clearly stated.",False,True,True,not_dangerous_skip_by_judge
exp2_human_008,exp2_elife_003_af_0370,eLife,exp2_elife_003,"The range of vessel diameters studied spanned 3.2–45.8 µm, comprising the smallest to largest vessels in the mouse retinal circulation.",True,"It can capture the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins.",True,"This fact provides important context about the scope of the study by indicating that all vessel sizes in the mouse retina were examined, which could be paraphrased for lay readers to convey the comprehensiveness of the research.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",True,"The lay summary explicitly states that the method captures the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins, which faithfully paraphrases the atomic fact about spanning 3.2–45.8 µm and covering the smallest to largest vessels in the mouse retinal circulation.",True,high,"It can capture the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins.","The lay summary explicitly states that the method captures the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins, which faithfully paraphrases the atomic fact about spanning 3.2–45.8 µm and covering the smallest to largest vessels in the mouse retinal circulation.",False,True,True,not_dangerous_skip_by_judge
exp2_human_009,exp2_elife_002_af_0126,eLife,exp2_elife_002,All Scc2-GFP strains are derivatives of Scc2-GFP from the Yeast GFP Clone Collection.,False,,False,This is a technical detail about the genetic source of yeast strains that is peripheral and not necessary for lay understanding of the study's main findings or implications.,"DNA replication copies the genetic information contained in a cell's chromosomes . A ring-like protein complex , cohesin , holds together each pair of newly-replicated chromosomes , known as ‘sister chromatids’ . When the cell divides , cohesin is cleaved; this allows sister chromatids to separate , so that each daughter cell receives one member of each sister chromatid pair and thereby inherits a full complement of genes . Defects in this process result in severe developmental abnormalities . Moreover , the genes that underlie this process are among the most frequently mutated in cancer . Cohesin is enriched at centromeres: the chromosomal points of attachment to the apparatus ( called the ‘mitotic spindle’ ) that segregates the sister chromatids into the daughter cells . The protein complex that loads cohesin onto chromosomes determines this preferential localization . The two components of the loading complex , Scc2 and Scc4 , associate as a 1:1 pair . Hinshaw et al . used a technique called X-ray crystallography to determine the structure of Scc4 bound with a large fragment of Scc2 . The result showed that the elongated Scc4 twists around the fragment of Scc2 , forming an extended groove . Scc2 snakes through the Scc4 groove and emerges at both ends . Hinshaw et al . then performed a series of experiments in yeast cells to probe how Scc4 determines the location at which cohesin loads onto chromosomes . These experiments revealed that a region on the surface of Scc4 targets both Scc4 and Scc2 to centromeres . The amino-acid sequence of this centromere-targeting patch on the surface of Scc4 is conserved across species . Thus , the mechanism by which Scc4 localizes cohesin to centromeres may be similar in all eukaryotic organisms .",False,"The lay summary does not mention the origin of the Scc2-GFP strains or their derivation from the Yeast GFP Clone Collection. It only discusses the function of Scc2 and Scc4, their structure, and their role in cohesin loading, but omits any information about the genetic background or source of the strains used.",False,high,,"The lay summary does not mention the origin of the Scc2-GFP strains or their derivation from the Yeast GFP Clone Collection. It only discusses the function of Scc2 and Scc4, their structure, and their role in cohesin loading, but omits any information about the genetic background or source of the strains used.",False,True,True,not_dangerous_skip_by_judge
exp2_human_010,exp2_elife_003_af_0164,eLife,exp2_elife_003,"For the first time, a functional map of the complete arteriolar tree and venular return of the mouse retina was characterized, with absolute flow measurements performed across all vessel generations and sizes.",True,"It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart .",True,"This fact describes a novel achievement in mapping and measuring blood flow in the mouse retina, which is a core finding and methodological advance likely to be highlighted in an expert lay summary.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",True,"The summary explicitly states that the new method captures the full range of retinal vessels (arteriolar tree and venular return) and measures blood flow (tracking single blood cells at all speeds) across all vessel sizes. It also notes this is a new achievement by Joseph et al., matching the 'for the first time' aspect of the atomic fact.",True,high,"It can capture the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins. ... Joseph et al. have combined adaptive optics, ultrafast imaging, and a new algorithm to view the whole blood vessel network in the eye of a mouse. The new method can automatically measure single blood cells, even when they are moving at their highest possible speed.","The summary explicitly states that the new method captures the full range of retinal vessels (arteriolar tree and venular return) and measures blood flow (tracking single blood cells at all speeds) across all vessel sizes. It also notes this is a new achievement by Joseph et al., matching the 'for the first time' aspect of the atomic fact.",False,True,True,not_dangerous_skip_by_judge
