time,stage,provider,model,item_id,prompt_tokens,cached_prompt_tokens,billable_prompt_tokens,completion_tokens,billable_output_tokens,total_tokens,elapsed_seconds,input_price_per_1m,cached_input_price_per_1m,output_price_per_1m,cost_currency,estimated_cost
2026-06-15T22:56:50,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0003_q,1022,0,1022,312,312,1334,2.1203,0.5,0.05,3.0,USD,0.001447
2026-06-15T22:56:50,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0005_q,1013,0,1013,307,307,1320,2.4511,0.5,0.05,3.0,USD,0.0014275
2026-06-15T22:56:50,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0001_q,1057,0,1057,309,309,1366,2.4721,0.5,0.05,3.0,USD,0.0014555
2026-06-15T22:56:51,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0009_q,1055,0,1055,359,359,1414,2.5461,0.5,0.05,3.0,USD,0.0016045
2026-06-15T22:56:51,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0002_q,1024,0,1024,307,307,1331,2.6612,0.5,0.05,3.0,USD,0.001433
2026-06-15T22:56:51,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0006_q,1062,0,1062,300,300,1362,2.6552,0.5,0.05,3.0,USD,0.001431
2026-06-15T22:56:51,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0004_q,1053,0,1053,336,336,1389,2.6608,0.5,0.05,3.0,USD,0.0015345
2026-06-15T22:56:51,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0007_q,1080,0,1080,418,418,1498,3.2828,0.5,0.05,3.0,USD,0.001794
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0010_q,1077,0,1077,362,362,1439,2.42,0.5,0.05,3.0,USD,0.0016245
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0013_q,1089,0,1089,316,316,1405,2.4852,0.5,0.05,3.0,USD,0.0014925
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0014_q,1067,0,1067,344,344,1411,2.3847,0.5,0.05,3.0,USD,0.0015655
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0012_q,1044,0,1044,317,317,1361,2.5791,0.5,0.05,3.0,USD,0.001473
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0019_q,1061,0,1061,352,352,1413,2.4841,0.5,0.05,3.0,USD,0.0015865
2026-06-15T22:56:53,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0020_q,1045,0,1045,327,327,1372,2.5869,0.5,0.05,3.0,USD,0.0015035
2026-06-15T22:56:54,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0011_q,1061,0,1061,362,362,1423,3.1033,0.5,0.05,3.0,USD,0.0016165
2026-06-15T22:56:54,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0022_q,1046,0,1046,304,304,1350,2.5897,0.5,0.05,3.0,USD,0.001435
2026-06-15T22:56:55,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0032_q,1053,0,1053,295,295,1348,2.0307,0.5,0.05,3.0,USD,0.0014115
2026-06-15T22:56:55,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0028_q,1035,0,1035,318,318,1353,2.3417,0.5,0.05,3.0,USD,0.0014715
2026-06-15T22:56:55,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0026_q,1048,0,1048,330,330,1378,2.9547,0.5,0.05,3.0,USD,0.001514
2026-06-15T22:56:56,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0031_q,1051,0,1051,323,323,1374,2.4527,0.5,0.05,3.0,USD,0.0014945
2026-06-15T22:56:56,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0027_q,1042,0,1042,363,363,1405,2.5589,0.5,0.05,3.0,USD,0.00161
2026-06-15T22:56:56,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0033_q,1036,0,1036,318,318,1354,2.5608,0.5,0.05,3.0,USD,0.001472
2026-06-15T22:56:57,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0034_q,1038,0,1038,328,328,1366,2.7877,0.5,0.05,3.0,USD,0.001503
2026-06-15T22:56:57,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0030_q,1066,0,1066,335,335,1401,3.8245,0.5,0.05,3.0,USD,0.001538
2026-06-15T22:56:57,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0035_q,1045,0,1045,309,309,1354,2.2204,0.5,0.05,3.0,USD,0.0014495
2026-06-15T22:56:58,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0036_q,1047,0,1047,327,327,1374,2.1178,0.5,0.05,3.0,USD,0.0015045
2026-06-15T22:56:58,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0037_q,1054,0,1054,370,370,1424,2.3241,0.5,0.05,3.0,USD,0.001637
2026-06-15T22:56:58,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0038_q,1038,0,1038,364,364,1402,2.5447,0.5,0.05,3.0,USD,0.001611
2026-06-15T22:56:58,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0040_q,1036,0,1036,323,323,1359,2.7565,0.5,0.05,3.0,USD,0.001487
2026-06-15T22:56:59,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0042_q,1054,0,1054,343,343,1397,2.2286,0.5,0.05,3.0,USD,0.001556
2026-06-15T22:56:59,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0041_q,1059,0,1059,356,356,1415,2.9857,0.5,0.05,3.0,USD,0.0015975
2026-06-15T22:56:59,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0043_q,1063,0,1063,319,319,1382,2.4415,0.5,0.05,3.0,USD,0.0014885
2026-06-15T22:57:00,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0044_q,1044,0,1044,331,331,1375,2.6467,0.5,0.05,3.0,USD,0.001515
2026-06-15T22:57:00,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0045_q,1078,0,1078,380,380,1458,2.7492,0.5,0.05,3.0,USD,0.001679
2026-06-15T22:57:00,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0048_q,1067,0,1067,301,301,1368,2.5344,0.5,0.05,3.0,USD,0.0014365
2026-06-15T22:57:01,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0051_q,1056,0,1056,308,308,1364,2.3158,0.5,0.05,3.0,USD,0.001452
2026-06-15T22:57:10,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_plos_0051_cand_0050_q,1059,0,1059,352,352,1411,11.4669,0.5,0.05,3.0,USD,0.0015855
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0005_q,1281,0,1281,303,303,1584,2.0917,0.5,0.05,3.0,USD,0.0015495
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0002_q,1280,0,1280,332,332,1612,2.0985,0.5,0.05,3.0,USD,0.001636
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0004_q,1280,0,1280,307,307,1587,2.4135,0.5,0.05,3.0,USD,0.001561
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0008_q,1278,0,1278,296,296,1574,2.5156,0.5,0.05,3.0,USD,0.001527
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0001_q,1274,0,1274,287,287,1561,2.5304,0.5,0.05,3.0,USD,0.001498
2026-06-15T22:57:22,phase_b.answer_questions:gemini3_flash_preview_minimal,gemini,gemini-3-flash-preview,laysumm_elife_0006_cand_0006_q,1282,0,1282,327,327,1609,2.6279,0.5,0.05,3.0,USD,0.001622
