article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0006,eLife,6,gpt41_mini,generated,1,0.966725,14,,Many decisions arise by gathering noisy evidence until it reaches a threshold or bound.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,2,0.983061,7,,This process is called bounded evidence accumulation.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,3,0.81587,14,hard_word_dense,"In perception, stimulus strength affects decision speed, accuracy, and confidence through this evidence accumulation."
laysumm_elife_0006,eLife,6,gpt41_mini,generated,4,0.964361,8,,Stimulus strength is measured by the signal-to-noise ratio.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,5,0.54863,12,hard_word_dense,"Increasing noise leads to faster decisions, lower accuracy, and paradoxically higher confidence."
laysumm_elife_0006,eLife,6,gpt41_mini,generated,6,0.929836,12,,Noise here means more variability in the momentary evidence used to decide.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,7,0.690657,18,,The study used a new sensory manipulation that adds unbiased noise to motion-selective areas in the visual cortex.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,8,0.963374,13,,This was confirmed by recording neurons in macaque brain areas MT and MST.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,9,0.515169,17,,"In humans and monkeys, increasing noise caused faster decisions and higher confidence with little loss in accuracy."
laysumm_elife_0006,eLife,6,gpt41_mini,generated,10,0.967694,16,,This effect was seen across different stimulus strengths and was statistically significant when data were pooled.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,11,0.760236,13,,The size of these effects matched predictions from a bounded evidence accumulation model.
laysumm_elife_0006,eLife,6,gpt41_mini,generated,12,0.708037,13,,"This model explains how motion strength and noise affect choice, speed, and confidence."
laysumm_elife_0026,eLife,26,gpt41_mini,generated,1,0.482492,13,number,The enzyme OspI from Shigella flexneri changes glutamine 100 in UBC13 to glutamate.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,2,0.081853,15,number,This chemical change is called deamidation and is specific to one amino acid in UBC13.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,3,0.24831,14,number,This change silences UBC13’s polyubiquitination activity with TRAF6 and blocks the NF-κB inflammatory response.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,4,0.905695,13,number,Polyubiquitination is a process that helps trigger immune signals through TRAF6 and NF-κB.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,5,0.184179,17,negation_or_contrast|number,Deamidation stops UBC13 from binding to the TRAF6 RING domain without changing UBC13’s shape or enzyme function.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,6,0.283516,11,number,Binding to TRAF6 is needed for UBC13 to activate immune signaling.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,7,0.664787,18,number,Deamidation creates a new internal salt-bridge in UBC13 that competes with a key salt-bridge at the UBC13/TRAF6 interface.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,8,0.976338,13,,Salt-bridges are bonds between charged parts of proteins that help them stick together.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,9,0.693828,13,number|hard_word_dense,This salt-bridge competition also disrupts transient interactions needed to form the UBC13/TRAF6 complex.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,10,0.97073,13,,Transient interactions are temporary contacts that help proteins find and bind each other.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,11,0.503364,17,number,"The negative charge on E100 repels the negatively charged surface of TRAF6 RING, further blocking transient interactions."
laysumm_elife_0026,eLife,26,gpt41_mini,generated,12,0.979236,9,,Electrostatic repulsion occurs when like charges push proteins apart.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,13,0.755314,10,hard_word_dense,This post-translational modification weakens transient complexes and stops protein-protein association.
laysumm_elife_0026,eLife,26,gpt41_mini,generated,14,0.988555,12,,Post-translational modifications are chemical changes made to proteins after they are made.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,1,0.966321,15,hard_word_dense,"Working memory depends on coordinated interactions among large-scale brain networks, especially frontal and parietal regions."
laysumm_elife_0028,eLife,28,gpt41_mini,generated,2,0.952235,11,,These brain areas communicate across long distances to support memory tasks.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,3,0.981813,14,hard_word_dense,Oscillatory synchronization in the theta frequency range helps coordinate neuronal activity during working memory.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,4,0.959974,16,number,Theta waves are brain rhythms between 4 and 8 Hz that organize activity across brain regions.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,5,0.995862,16,,Direct causal evidence that oscillatory activity shapes brain network dynamics and behavior in humans is limited.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,6,0.090142,10,,It is unclear how changing brain waves affects human behavior.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,7,0.952199,19,hard_word_dense,The study used transcranial alternating current stimulation (tACS) to modulate oscillations in a right frontoparietal network supporting working memory.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,8,0.440626,14,,tACS is a non-invasive electrical method that applies rhythmic currents to specific brain areas.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,9,0.980577,13,number|hard_word_dense,Synchronous tACS improved working memory performance during high-demand tasks like the 2-back test.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,10,0.917051,13,,Synchronizing brain waves with tACS made participants respond faster in difficult memory tasks.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,11,0.992922,19,,"The effects of tACS depend on the relative phase of stimulation and the cognitive state, as shown by fMRI."
laysumm_elife_0028,eLife,28,gpt41_mini,generated,12,0.922483,14,,Brain scans revealed that timing between stimulation and brain activity changes how networks respond.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,13,0.96854,16,,Synchronous tACS during a verbal working memory task increased parietal brain activity linked to better performance.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,14,0.922625,14,,Higher activity in the parietal region correlated with faster responses in the memory task.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,15,0.935954,17,hard_word_dense,The relative phase of frontoparietal tACS influences functional connectivity and information flow within the working memory network.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,16,0.883117,11,hard_word_dense,"Synchronous stimulation increased frontal-parietal connections, while desynchronous stimulation changed posterior interactions."
laysumm_elife_0028,eLife,28,gpt41_mini,generated,17,0.991191,18,hard_word_dense,Working memory performance is linked to large-scale brain synchronization across a right frontoparietal network activated by the task.
laysumm_elife_0028,eLife,28,gpt41_mini,generated,18,0.854898,13,,This shows that brain wave timing across distant regions supports demanding memory tasks.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,1,0.998295,13,,The granular retrosplenial cortex (RSG) is important for both spatial and non-spatial behaviors.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,2,0.965668,20,,"The RSG is a brain area involved in different types of behaviors, including those related to space and other functions."
laysumm_elife_0035,eLife,35,gpt41_mini,generated,3,0.863725,15,hard_word_dense,Researchers used optogenetic circuit mapping in mice to study parallel circuits in the superficial RSG.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,4,0.636684,16,,This method activates neurons with light to measure how different brain areas connect to the RSG.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,5,0.984528,18,,The anterior thalamus and dorsal subiculum send spatial information that strongly activates low-rheobase (LR) neurons in the RSG.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,6,0.954647,16,,LR neurons are a special type of pyramidal cell that respond strongly to these spatial inputs.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,7,0.933245,20,hard_word_dense,Nearby regular-spiking (RS) neurons in the RSG are mainly controlled by claustral and anterior cingulate inputs carrying mostly non-spatial information.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,8,0.929688,14,,RS neurons are a different type of pyramidal cell that respond to non-spatial signals.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,9,0.908674,20,number,Precise layering of axons and dendrites in layer 1 of the RSG allows separate processing of spatial and non-spatial inputs.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,10,0.560172,13,negation_or_contrast,This arrangement lets LR and RS neurons receive different input types without overlap.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,11,0.977453,19,negation_or_contrast,Thalamocortical synaptic dynamics let LR neurons compute head rotation speed from head direction inputs that do not encode speed.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,12,0.660675,16,,The way these inputs weaken over time helps LR neurons turn direction signals into speed signals.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,13,0.966197,19,,These parallel input streams show that LR neurons are well positioned to support spatial orientation computations in the RSG.
laysumm_elife_0035,eLife,35,gpt41_mini,generated,14,0.970653,13,,LR neurons combine information about direction and speed to help with spatial orientation.
