article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,1,0.887029,14,,Many decisions arise from the accumulation of noisy evidence until it reaches a threshold.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,2,0.957869,12,deictic_subject,This process continues until the evidence reaches a specific bound or limit.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,3,0.896756,13,causal_or_inferential,"In perception, this mechanism explains how stimulus strength affects decision speed and accuracy."
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,4,0.959542,13,,The strength of the signal also influences how much confidence a person feels.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,5,0.495285,15,,Models predict that an increase in noise should lead to faster decisions and reduced accuracy.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,6,0.611089,12,,"Paradoxically, this extra noise is also predicted to lead to higher confidence."
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,7,0.748036,13,,Researchers used a sensory manipulation that mimics unbiased noise in the visual cortex.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,8,0.908007,13,deictic_subject,They verified this method using neuronal recordings from macaque areas MT and MST.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,9,0.935263,11,,"For both humans and monkeys, increasing the noise induced faster decisions."
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,10,0.923876,12,deictic_subject,These subjects also showed greater confidence while their accuracy was minimally impaired.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,11,0.924617,11,,The magnitude of these effects was in agreement with model predictions.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,12,0.914186,11,,The results support the framework of the bounded evidence accumulation model.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,13,0.978193,12,,Noise accelerates the movement of the decision variable toward the termination bounds.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,14,0.523985,12,deictic_subject|causal_or_inferential,This acceleration explains why decisions happen more quickly when noise is high.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,15,0.998264,12,,Human subjects issued higher confidence ratings on trials with high volatility displays.
laysumm_elife_0006,eLife,6,gemini3_flash_preview_minimal,rewritten,16,0.990741,11,deictic_subject,This effect was most noticeable when the motion strength was weak.
