article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,1,0.979776,12,,Many decisions happen when noisy evidence builds up to a certain limit.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,2,0.993728,8,deictic_subject,This process is known as bounded evidence accumulation.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,3,0.910707,14,causal_or_inferential,"In perception, this mechanism explains how stimulus strength affects decision speed, accuracy, and confidence."
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,4,0.943108,8,,Stimulus strength is measured by its signal-to-noise ratio.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,5,0.937707,11,,More noise is predicted to cause faster decisions and higher confidence.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,6,0.980316,7,deictic_subject|hedged_or_implication,This occurs even though accuracy might decrease.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,7,0.859082,15,,"An increase in noise should lead to faster decisions, reduced accuracy and, paradoxically, higher confidence."
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,8,0.787133,14,,Researchers used a new sensory method to add unbiased noise to visual cortex regions.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,9,0.990607,14,deictic_subject,This involved adding a second level of randomness to a random dot motion display.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,10,0.988596,7,deictic_subject|hard_word_dense,These regions are responsible for processing motion.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,11,0.92554,9,,Neuronal recordings from macaque areas MT/MST verified this method.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,12,0.973618,7,hard_word_dense,The manipulation increased volatility but was unbiased.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,13,0.204705,13,,"For humans and monkeys, more noise led to faster decisions and greater confidence."
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,14,0.991259,10,deictic_subject,This effect was particularly strong at the weakest motion strengths.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,15,0.983181,8,negation_or_contrast,Accuracy was only slightly affected across various stimuli.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,16,0.760236,13,,The size of these effects matched predictions from a bounded evidence accumulation model.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,17,0.992379,10,causal_or_inferential,The model explains the influence of motion strength and volatility.
laysumm_elife_0006,eLife,6,gemini25_flash_non_thinking,rewritten,18,0.8776,16,,The magnitude of the effects was in agreement with predictions of a bounded evidence accumulation model.
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,rewritten,1,0.783156,9,,The bacterium Shigella flexneri produces an enzyme called OspI.
laysumm_elife_0026,eLife,26,gemini25_flash_non_thinking,rewritten,2,0.94314,15,number,"OspI deamidates a glutamine residue in the host protein UBC13, changing it to glutamate (Q100E)."
