run,model,variant,article_id,source_dataset,original_index,sentence_index,sentence,rouge1_to_ref,rougeL_to_ref,risk_score,risk_tags,word_count,letters,avg_chars,long_word_count,long_word_ratio,hard_word_count,hard_word_ratio,fkgl,cli,dcrs
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,1,Many decisions are thought to arise from the accumulation of noisy evidence until a threshold is reached.,,,0,,17,88,5.176470588235294,1,0.058823529411764705,4,0.23529411764705882,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,2,This process continues until the gathered information hits a specific limit or bound.,,,2,hard_word_dense,13,72,5.538461538461538,1,0.07692307692307693,4,0.3076923076923077,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,3,"This mechanism explains how stimulus strength affects decision speed, accuracy, and confidence.",,,2,hard_word_dense|technical_density|causal_or_inferential,12,81,6.75,1,0.08333333333333333,5,0.4166666666666667,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,4,These three factors are the key observable parts of how a decision is formed.,,,0,,14,63,4.5,1,0.07142857142857142,2,0.14285714285714285,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,5,Increased noise is predicted to lead to faster decisions and paradoxically higher confidence.,,,2,hard_word_dense,13,80,6.153846153846154,2,0.15384615384615385,5,0.38461538461538464,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,6,The extra noise pushes the evidence toward the decision bounds more quickly.,,,0,,12,64,5.333333333333333,0,0.0,2,0.16666666666666666,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,7,Researchers tested this using a sensory manipulation that mimics noise in the visual cortex.,,,0,,14,78,5.571428571428571,2,0.14285714285714285,3,0.21428571428571427,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,8,They verified this method using neuronal recordings from macaque brain areas MT/MST.,,,2,hard_word_dense,13,71,5.461538461538462,1,0.07692307692307693,4,0.3076923076923077,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,9,"In humans and monkeys, increased noise led to faster decisions and greater confidence.",,,0,,13,72,5.538461538461538,1,0.07692307692307693,3,0.23076923076923078,,,
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,6,10,These effects occurred while the accuracy of the choices was only minimally impaired.,,,2,hard_word_dense|negation_or_contrast,13,72,5.538461538461538,0,0.0,4,0.3076923076923077,,,
