run,model,variant,final_score,relevance,readability,factuality,alignscore,summac
pilot_n20_v10_factuality_chase,gemini25_flash_non_thinking,rewritten,0.6921,0.6948,0.4115,0.9699,0.9262,0.9018
pilot_n20_v9_factuality_chase,gemini25_flash_non_thinking,rewritten,0.6809,0.68,0.3842,0.9784,0.9347,0.9241
pilot_n20_v10_factuality_chase,gemini25_flash_non_thinking,generated,0.6679,0.5991,0.4252,0.9794,0.9376,0.9013
pilot_n20_v9_factuality_chase,gemini25_flash_non_thinking,generated,0.6647,0.5881,0.406,1.0,0.9473,0.9341
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,generated,0.6556,0.7356,0.5995,0.6316,0.755,0.6981
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.6488,0.7309,0.5928,0.6226,0.7543,0.6905
pilot_n20_v2_expert_evaltmp,gemini3_flash_preview_minimal,generated,0.6422,1.0,0.4017,0.5249,0.8019,0.5602
pilot_n20_v2_expert_evaltmp,gemini3_flash_preview_minimal,rewritten,0.6422,1.0,0.4017,0.5249,0.8019,0.5602
pilot_n20_v2_expert_evaltmp,gpt41_mini,generated,0.6422,1.0,0.4017,0.5249,0.8019,0.5602
pilot_n20_v2_expert_evaltmp,gpt41_mini,rewritten,0.6422,1.0,0.4017,0.5249,0.8019,0.5602
pilot_n20_v6_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.6368,0.7239,0.5835,0.6028,0.7436,0.682
pilot_n20_v10_factuality_chase,gpt41_mini,rewritten,0.6333,0.6261,0.4867,0.7871,0.8403,0.7634
pilot_n20_v6_factuality_chase,gemini3_flash_preview_minimal,generated,0.6326,0.7143,0.5799,0.6037,0.7528,0.6747
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,0.6276,0.7119,0.4454,0.7256,0.7957,0.7471
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.6276,0.7119,0.4454,0.7256,0.7957,0.7471
