article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,1,0.944152,12,,Many decisions arise by gathering noisy evidence until it reaches a threshold.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,2,0.983061,7,deictic_subject,This process is called bounded evidence accumulation.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,3,0.91646,15,,Decisions are made by gathering uncertain information over time until enough evidence supports one choice.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,4,0.971612,10,hard_word_dense,"In perception, stimulus strength affects decision speed, accuracy, and confidence."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,5,0.964361,8,,Stimulus strength is measured by the signal-to-noise ratio.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,6,0.945591,9,hard_word_dense,"Noise affects accuracy, speed, and confidence in perceptual decisions."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,7,0.821487,10,causal_or_inferential|hard_word_dense,"Increasing noise causes faster decisions, lower accuracy, and higher confidence."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,8,0.968614,9,deictic_subject,This pattern is predicted by bounded evidence accumulation models.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,9,0.858102,11,hard_word_dense,"Increasing noisiness speeds decisions and increases confidence, even though accuracy drops."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,10,0.762473,16,,The study used a new method to add unbiased noise to motion areas in visual cortex.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,11,0.949851,12,deictic_subject,This was confirmed by recordings from macaque brain areas MT and MST.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,12,0.109203,12,,Adding noise made humans and monkeys decide faster and feel more confident.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,13,0.98253,8,negation_or_contrast,Accuracy was only slightly affected across different stimuli.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,14,0.744332,13,,"Both humans and monkeys made faster, more confident decisions when noise was increased."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,15,0.560472,9,,High noise increased confidence even when accuracy changed little.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,16,0.939085,9,,Faster reaction times occurred especially at low motion strengths.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,17,0.814809,13,,The effects on speed and confidence matched predictions from the bounded evidence model.
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,18,0.810577,12,causal_or_inferential,"The model explains the joint effect on choice, reaction time, and confidence."
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,1,0.482492,13,number,The enzyme OspI from Shigella flexneri changes glutamine 100 in UBC13 to glutamate.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,2,0.337853,12,deictic_subject|number,This change is called deamidation and alters one amino acid in UBC13.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,3,0.762983,12,number,Shigella produces an enzyme that changes a single amino acid in UBC13.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,4,0.112836,10,number|hard_word_dense,Deamidation stops UBC13 from working with TRAF6 to trigger inflammation.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,5,0.247213,9,deictic_subject,This blocks the NF-κB pathway that controls immune responses.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,6,0.485698,13,number,"Normally, UBC13 teams up with another protein, TRAF6, to trigger an immune response."
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,7,0.938406,13,number,Deamidation weakens UBC13 binding to the TRAF6 RING domain by disrupting key contacts.
