article_id,source_dataset,original_index,model_key,variant,sentence_index,alignscore,word_count,risk_tags,sentence
laysumm_plos_0228,PLOS,228,gpt41_mini,rewritten,6,0.033784,11,negation_or_contrast|hard_word_dense,"Most studies test only two fixed cue-mapping pairs, not continuous changes."
laysumm_plos_1309,PLOS,1309,gpt41_mini,rewritten,6,0.045761,12,deictic_subject,This tagging leads to their breakdown by the cell's protein recycling system.
laysumm_plos_0209,PLOS,209,gpt41_mini,rewritten,12,0.056083,13,,"PatS inhibits HetR, SepJ enables cell communication, and HetR boosts its own production."
laysumm_plos_0563,PLOS,563,gpt41_mini,rewritten,2,0.061741,13,deictic_subject,"These proteins also help the bacteria avoid the immune system, increasing infection severity."
laysumm_elife_0057,eLife,57,gpt41_mini,rewritten,6,0.075543,14,,"Arabidopsis flowers always have four petals, while Cardamine petals range from zero to four."
laysumm_elife_0006,eLife,6,gpt41_mini,rewritten,12,0.109203,12,,Adding noise made humans and monkeys decide faster and feel more confident.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,4,0.112836,10,number|hard_word_dense,Deamidation stops UBC13 from working with TRAF6 to trigger inflammation.
laysumm_plos_1309,PLOS,1309,gpt41_mini,rewritten,1,0.151774,16,,The levels of substrate receptor proteins in CRLs are tightly controlled to keep all types available.
laysumm_plos_1309,PLOS,1309,gpt41_mini,rewritten,5,0.186298,13,hard_word_dense,F-box proteins are controlled by tagging themselves for destruction in intact SCF complexes.
laysumm_elife_0188,eLife,188,gpt41_mini,rewritten,2,0.245413,11,negation_or_contrast|hard_word_dense,"Mosquitoes cannot regulate their body temperature, so environmental temperature controls transmission."
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,5,0.247213,9,deictic_subject,This blocks the NF-κB pathway that controls immune responses.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,14,0.272659,9,hard_word_dense,Electrostatic repulsion prevents the proteins from coming close temporarily.
laysumm_plos_0501,PLOS,501,gpt41_mini,rewritten,7,0.278292,17,number,"The study used about 300,000 drug-mutant data points covering multiple drug classes and thousands of HIV mutants."
laysumm_plos_0209,PLOS,209,gpt41_mini,rewritten,7,0.290813,14,negation_or_contrast,"Correlations in HetR expression mainly come from molecules moving between cells, not cell division."
laysumm_elife_0057,eLife,57,gpt41_mini,rewritten,12,0.321947,11,negation_or_contrast|number,Cardamine APETALA1 cannot replace Arabidopsis APETALA1 to keep petal number stable.
laysumm_elife_0026,eLife,26,gpt41_mini,rewritten,2,0.337853,12,deictic_subject|number,This change is called deamidation and alters one amino acid in UBC13.
laysumm_elife_0062,eLife,62,gpt41_mini,rewritten,10,0.34243,10,deictic_subject|hard_word_dense,"This similarity includes genes for metabolism, immunity, and nutrient transport."
laysumm_elife_0062,eLife,62,gpt41_mini,rewritten,6,0.3496,11,deictic_subject,This method found hundreds of gut genes missed by earlier studies.
laysumm_plos_1309,PLOS,1309,gpt41_mini,rewritten,13,0.354642,13,,Yeast cells lacking this pathway show increased chromosome loss and sensitivity to cadmium.
laysumm_elife_0163,eLife,163,gpt41_mini,rewritten,7,0.35823,11,deictic_subject|number|hard_word_dense,This mouse produces RNA molecules that bind and inactivate miR-9 conditionally.
laysumm_plos_0285,PLOS,285,gpt41_mini,rewritten,9,0.368598,12,,"The method follows WHO age-group indicators and samples districts, except for schistosomiasis."
