"model_key","Model","variant","phase","expert_af_total","Expert-AF Recall","source_run"
"gemini25_flash_non_thinking","Gemini 2.5 Flash","direct","Direct (Zero-shot)","161","0.8322981366459627","oldm1_len220minimaldirect_selectedabstractaf_recall_g25judge_p20"
"gemini25_flash_non_thinking","Gemini 2.5 Flash","module1","Module 1","151","0.9801324503311258","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gemini25_flash_non_thinking","Gemini 2.5 Flash","module12_generated","Module 1+2 (Generated)","151","0.9271523178807947","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gemini25_flash_non_thinking","Gemini 2.5 Flash","module123_rewritten","Module 1+2+3 (Rewritten)","151","0.9271523178807947","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gemini3_flash_preview_minimal","Gemini 3 Flash","direct","Direct (Zero-shot)","161","0.7950310559006211","oldm1_len220minimaldirect_selectedabstractaf_recall_g25judge_p20"
"gemini3_flash_preview_minimal","Gemini 3 Flash","module1","Module 1","151","0.8741721854304636","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gemini3_flash_preview_minimal","Gemini 3 Flash","module12_generated","Module 1+2 (Generated)","151","0.9205298013245033","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gemini3_flash_preview_minimal","Gemini 3 Flash","module123_rewritten","Module 1+2+3 (Rewritten)","151","0.9337748344370861","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gpt41_mini","GPT-4.1 Mini","direct","Direct (Zero-shot)","161","0.8385093167701864","oldm1_len220minimaldirect_selectedabstractaf_recall_g25judge_p20"
"gpt41_mini","GPT-4.1 Mini","module1","Module 1","151","0.9072847682119205","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gpt41_mini","GPT-4.1 Mini","module12_generated","Module 1+2 (Generated)","151","0.9403973509933775","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
"gpt41_mini","GPT-4.1 Mini","module123_rewritten","Module 1+2+3 (Rewritten)","151","0.9403973509933775","oldm1_len220direct_selectedabstractaf_recall_g25judge_p20"
